id,text,rating,book,reviewer,date
1,"This book was great, I really enjoyed it.",4.5,To Kill a Mockingbird,John Smith,01/01/2022
2,"I thought this book was okay, but not great.",3.2,The Adventures of Sherlock Holmes,Jane Doe,05/01/2022
3,"Wow, this book was amazing!",5,The Amazing Adventures of Kavalier & Clay,Robert Johnson,10/01/2022
4,"I couldn't finish this book, it was terrible.",1.5,The Red Badge of Courage,Amy Lee,15/01/2022
5,"This was a great book, highly recommend!",4.8,The Bell Jar,David Kim,20/01/2022
6,"A classic science fiction novel, highly recommended.",4,Dune,Emily Chen,25/01/2022
7,To Kill a Mockingbird is a classic,4.5,To Kill a Mockingbird,John Smith,15/03/2022
8,"Amazing read, I couldn't put it down!",5,To Kill a Mockingbird,Jane Doe,01/04/2022
9,1984 is a must-read,4,1984,John Smith,22/03/2022
10,"American Gods was okay, not my favorite",3,American Gods,Jane Doe,28/02/2022
11,The Hitchhiker's Guide to the Galaxy is hilarious,4.5,The Hitchhiker's Guide to the Galaxy,Jessica,28/12/2021
12,This book is hilarious! Highly recommended.,5,The Hitchhiker's Guide to the Galaxy,John Smith,15/03/2022
13,A classic that everyone should read.,4,1984,Jane Doe,18/03/2022
14,One of the best books I've ever read.,5,The Lord of the Rings,Bob Johnson,20/03/2022
15,Great introduction to programming in Ruby.,4,The Ruby Programming Language,Alice Brown,22/03/2022
16,A must-read for fans of science fiction.,5,Neuromancer,Sam Jones,24/03/2022
17,A thought-provoking novel about the dangers of technology.,4,Fahrenheit 451,Sara Lee,25/03/2022
18,A fascinating exploration of human nature.,4,Pride and Prejudice,Tom Green,26/03/2022
19,A gripping and suspenseful novel.,5,To Kill a Mockingbird,Emily Davis,27/03/2022
20,Great read!,5,The Great Gatsby,Alice,15/03/2022
22,Not as good as I expected,3,To Kill a Mockingbird,Bob,18/03/2022
23,This book changed my life!,5,The Catcher in the Rye,Charlie,22/03/2022
24,Could not put it down!,4,1984,David,25/03/2022
25,A must-read for everyone,5,Animal Farm,Emily,28/03/2022
26,Interesting but too long,3,Moby Dick,Frank,02/04/2022
27,Not my cup of tea,2,Pride and Prejudice,George,05/04/2022
31,Loved this book!,5,The Alchemist,Hannah,15/03/2022
32,Couldn't finish it,2,Fifty Shades of Grey,Isaac,18/03/2022
33,Would not recommend,2,Twilight,Jake,22/03/2022
34,Waste of time,1,The Da Vinci Code,Kelly,25/03/2022
35,Too confusing,3,Cloud Atlas,Liam,28/03/2022
36,Not worth the hype,2,The Girl with the Dragon Tattoo,Mia,02/04/2022
37,Boring,2,The Lord of the Rings,Nick,05/04/2022
41,This is a great book on algorithms!,5,Introduction to Algorithms,John Doe,01/04/2023
42,I found this book to be very helpful.,4,Cracking the Coding Interview,Jane Smith,28/03/2023
43,Not very useful for beginners.,2,The C Programming Language,Bob Johnson,30/03/2023
44,A must-read for any computer science student.,5,Code Complete,Alice Lee,25/03/2023
45,"Too theoretical, not enough practical examples.",3,Computer Networks,David Kim,02/04/2023
51,I found this book to be an excellent resource for learning about algorithms in computer science. The explanations are clear and easy to understand.,4.5,Introduction to Algorithms,John Doe,25/03/2023
52,This is a great book for anyone looking to learn more about database design and management. The author does a good job of explaining the concepts in a clear and concise way.,4,Database Systems: The Complete Book,Jane Smith,27/03/2023
53,I enjoyed reading this book about computer networking. The examples were practical and the explanations were thorough.,4,Computer Networking: A Top-Down Approach,Joe Johnson,28/03/2023
54,"As someone who is new to programming, I found this book to be a helpful introduction to Python. The exercises were challenging but not overwhelming, and the author's writing style is engaging.",3.5,"Python Crash Course: A Hands-On,  Project-Based Introduction to Programming",Emily Brown,30/03/2023
55,This is a comprehensive guide to computer architecture that covers all the major concepts in detail. The author provides clear explanations and plenty of examples to help the reader understand the material.,5,Computer Organization and Design: The Hardware/Software Interface,Mark Jones,01/04/2023
56," ""I found this book to be a great resource for learning Python programming. It explains the concepts clearly and provides practical examples. Highly recommend!""",5," ""Learning Python"""," ""John Doe""",16/03/2023
57," ""This book is a must-read for anyone interested in data science. It covers all the essential topics and provides clear explanations. The exercises at the end of each chapter are also very helpful.""",5,Python for Data Analysis," ""Jane Smith""",17/03/2023
58," ""As someone new to web development,  I found this book to be very helpful. It explains the concepts clearly and provides practical examples. Highly recommend!""",4,HTML and CSS: Design and Build Websites," ""Bob Johnson""",18/03/2023
59," ""I have been programming in Java for a few years now and I found this book to be a great resource for learning advanced concepts. The examples are well explained and the exercises at the end of each chapter are challenging.""",4,Effective Java," ""Alice Lee""",19/03/2023
